StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q2,Q3,Q4,Q4_11_TEXT,Q5,Q6,Q6_5_TEXT,Q7,Q7A,Q17,Q7B,Q7B_3_TEXT,Q11_1,Q8,Q9,Q9_5_TEXT,Q10,Q12,Q12A,Q13,Q13A,Q20,Q22,Q8 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,How do you usually travel on weekdays during the displayed time blocks? (Pick your most common method for each time slot.) - 6am - 11am,How do you usually travel on weekdays during the displayed time blocks? (Pick your most common method for each time slot.) - 11am - 3pm,How do you usually travel on weekdays during the displayed time blocks? (Pick your most common method for each time slot.) - 3pm - 6pm,How do you usually travel on weekdays during the displayed time blocks? (Pick your most common method for each time slot.) - 6pm - 1am,How do you usually travel on weekdays during the displayed time blocks? (Pick your most common method for each time slot.) - 1am - 6am,How do you usually travel on weekdays during the displayed time blocks? (Pick your most common method for each time slot.) - Weekend,Where are you usually traveling on weekdays during this time? (Pick the most common route for each time slot.) - 6am - 11am,Where are you usually traveling on weekdays during this time? (Pick the most common route for each time slot.) - 11am - 3pm,Where are you usually traveling on weekdays during this time? (Pick the most common route for each time slot.) - 3pm - 6pm,Where are you usually traveling on weekdays during this time? (Pick the most common route for each time slot.) - 6pm - 1am,Where are you usually traveling on weekdays during this time? (Pick the most common route for each time slot.) - 1am - 6am,Where are you usually traveling on weekdays during this time? (Pick the most common route for each time slot.) - Weekend,Select any of the following transportation methods you don't recognize/haven't heard of before.,Where do you live?,Where do you spend most of your workday? (Pick multiple if your workplace is split.) - Selected Choice,Where do you spend most of your workday? (Pick multiple if your workplace is split.) - Other (please specify) - Text,"Think about your commute to work: Are there areas in which you don’t feel safe? If so, where?","Given your answer in the previous question, what do you think could improve this? (Mark all that are relative) - Selected Choice","Given your answer in the previous question, what do you think could improve this? (Mark all that are relative) - Other (please specify) - Text",Do bike to work?,"Keeping your commute in mind, click on up to five points on the map where you would like more bike racks (in the southern portion of the Yale Campus).","Keeping your commute in mind, click on up to five points on the map where you would like more bike racks (in the northern portion of the Yale Campus).",Why do you not bike to work? - Selected Choice,Why do you not bike to work? - Other (please specify) - Text,How fast would a shuttle have to arrive for you to not walk at night? - Minutes,Please provide any suggestions for shuttle improvement:,Would you be interested in using CT transit if any of the following were true? - Selected Choice,Would you be interested in using CT transit if any of the following were true? - Other (please specify) - Text,Have you heard of the LiveSafe app?,Have you been a victim of a crime when traveling on/near the Yale university south campus or the medical center?,Where? (Click on up to five points on the map.),Have you been a victim of a crime when traveling on/near the Yale university north campus?,Where? (Click on up to five points on the map.),"While working in a Yale building, have you or your coworkers been the victim of petty theft in said building?","Do you want to be entered into the pool to win a gift card for responding to this survey? (Valid only for those GSAS students who responded to the survey prior to December 16, 2016.)",Q8 - Topics
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_11_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID8""}","{""ImportId"":""QID20""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_3_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID18""}","{""ImportId"":""QID16""}","{""ImportId"":""QID19""}","{""ImportId"":""QID17""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID9_TEXT_bb48ab87c4754e6fa2908e18Topic0""}"
11/28/2016 19:14,11/29/2016 22:03,IP Address,73.186.78.154,100,96544,TRUE,11/29/2016 22:03,R_2dmCkXtuliPxJ83,,,,,41.30940247,-72.9240036,anonymous,Walk,Fixed route shuttle,Walk,Walk,Door-to-door shuttle,Walk,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,,Downtown,Science Hill,,,,,No,,,"Because the commute is too short/long,Because bikes are expensive",,30,,"I already use CT transit,Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit",,"Yes, I’ve heard of it",No,,No,,Yes,Yes,
11/30/2016 5:58,11/30/2016 6:02,IP Address,40.139.179.11,100,273,TRUE,11/30/2016 6:02,R_bkd3IewBtZTpYMJ,,,,,42.35839844,-71.05979919,anonymous,Uber/taxi,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Uber/taxi,Home to elsewhere,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,,Downtown,Prospect,,"Green, temple street, college parking garage","Shuttle access,Improve lighting,Security presence",,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,15,Arriving on time,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don’t use it",No,,No,,No,Yes,Unknown
11/30/2016 6:13,11/30/2016 6:18,IP Address,130.132.173.217,100,265,TRUE,11/30/2016 6:18,R_Zt1Pz0LbcRGPi8N,,,,,41.30940247,-72.9240036,anonymous,Bike,Walk,Fixed route shuttle,,I don't travel during this time,Door-to-door shuttle,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,"CT transit,To-door shuttle (Law/Med)",East Rock,Med campus,,The Med School after ~5pm,"Improve lighting,Security presence",,Yes,,,,,15,,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don’t use it",No,,No,,No,Yes,
11/30/2016 6:47,11/30/2016 6:53,IP Address,73.114.19.158,100,321,TRUE,11/30/2016 6:53,R_3lyK7OCBMlKacYr,,,,,41.77789307,-72.70320129,anonymous,Walk,Walk,Walk,Walk,Walk,Walk,Home to work,Work to home,Home to work,Work to home,I don't travel during this time,Home to work,To-door shuttle (Law/Med),Downtown,Cross campus,,,,,No,,,Don't feel safe biking in traffic,,0,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
11/30/2016 7:24,11/30/2016 7:27,IP Address,32.212.52.180,100,200,TRUE,11/30/2016 7:27,R_3eaX75dVcjiMNCE,,,,,41.30940247,-72.9240036,anonymous,Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to work,To-door shuttle (Law/Med),Dwight,Cross campus,,Whitney going to stop and shop,Shuttle access,,No,,,"Other (please specify),Because the commute is too short/long",My bike has been broken and I need to get it fixed ,7,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
11/30/2016 7:39,11/30/2016 7:45,IP Address,130.132.173.21,100,346,TRUE,11/30/2016 7:45,R_1kRhu8qugQ7kbgN,,,,,41.30940247,-72.9240036,anonymous,Fixed route shuttle,Walk,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Walk,Home to work,Work to home,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,East Rock,"York St.,Cross campus",,,Shuttle access,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,24,More orange line busses. They fill up very fast in the morning and then pass stops without picking up once full. ,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
11/30/2016 7:43,11/30/2016 7:45,IP Address,130.132.173.64,100,117,TRUE,11/30/2016 7:45,R_3I0EpP8E3jYigqD,,,,,41.30940247,-72.9240036,anonymous,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Bike,Home to work,Home to work,Home to work,Home to work,Home to work,Home to work,"Fixed route shuttle,Door to door shuttle,To-door shuttle (Law/Med)",,"Science Hill,Hillhouse area",,Near Stop and Shop,Security presence,,Yes,,,,,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
11/30/2016 7:43,11/30/2016 7:47,IP Address,130.132.173.180,100,250,TRUE,11/30/2016 7:47,R_zePrlrU2duC1z3P,,,,,41.30940247,-72.9240036,anonymous,Bike,Bike,Bike,Bike,Bike,Bike,Home to work,I don't travel during this time,Work to elsewhere,Work to home,I don't travel during this time,Home to work,To-door shuttle (Law/Med),Mansfield/Yale Health area,Hillhouse area,,,"Shuttle access,Improve lighting,Security presence",,Yes,,,,,9,,"I already use CT transit,Yale provided graduate students with cheaper/free passes",,No,No,,No,,No,Yes,
